Gene,Database,Count,Frequency,Percentage,Genomes
selZ,AMRfinder,45,45 (42.1%),42.1%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064183_13;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064205_35;064206_36;064217_47;064221_51;064226_56;064231_61;064232_62;064234_64;064235_65;064236_66;064238_68;064242_72;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064259_89;064261_91;064262_92;064264_94;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
msr(A),AMRfinder,43,43 (40.2%),40.2%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064190_20;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064226_56;064230_60;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064256_86;064259_89;064261_91;064262_92;064264_94;064268_98;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
sel27,AMRfinder,39,39 (36.4%),36.4%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064226_56;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064259_89;064261_91;064262_92;064264_94;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
sel28,AMRfinder,39,39 (36.4%),36.4%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064226_56;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064259_89;064261_91;064262_92;064264_94;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
mph(C),AMRfinder,39,39 (36.4%),36.4%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064226_56;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064259_89;064261_91;064262_92;064264_94;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
splB,AMRfinder,39,39 (36.4%),36.4%,064173_3;064179_9;064181_11;064183_13;064187_17;064188_18;064190_20;064195_25;064197_27;064198_28;064199_29;064202_32;064205_35;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064218_48;064219_49;064222_52;064223_53;064230_60;064233_63;064235_65;064237_67;064239_69;064241_71;064242_72;064245_75;064257_87;064260_90;064263_93;064265_95;064267_97;064268_98;064269_99;064276_106
lukE,AMRfinder,39,39 (36.4%),36.4%,064173_3;064179_9;064181_11;064183_13;064187_17;064188_18;064190_20;064195_25;064197_27;064198_28;064199_29;064202_32;064205_35;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064218_48;064219_49;064222_52;064223_53;064230_60;064233_63;064235_65;064237_67;064239_69;064241_71;064242_72;064245_75;064257_87;064260_90;064263_93;064265_95;064267_97;064268_98;064269_99;064276_106
sec2,AMRfinder,38,38 (35.5%),35.5%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064190_20;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064226_56;064230_60;064231_61;064232_62;064234_64;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064261_91;064262_92;064264_94;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
sel,AMRfinder,38,38 (35.5%),35.5%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064190_20;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064226_56;064230_60;064231_61;064232_62;064234_64;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064261_91;064262_92;064264_94;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
parC_S80Y,AMRfinder,37,37 (34.6%),34.6%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064259_89;064261_91;064262_92;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
murA_E291D,AMRfinder,35,35 (32.7%),32.7%,064175_5;064177_7;064183_13;064184_14;064185_15;064186_16;064189_19;064193_23;064194_24;064200_30;064205_35;064207_37;064208_38;064215_45;064216_46;064220_50;064224_54;064225_55;064227_57;064228_58;064235_65;064240_70;064242_72;064243_73;064245_75;064246_76;064250_80;064253_83;064255_85;064256_86;064258_88;064266_96;064270_100;064271_101;064276_106
glpT_A100V,AMRfinder,35,35 (32.7%),32.7%,064175_5;064177_7;064183_13;064184_14;064185_15;064186_16;064189_19;064193_23;064194_24;064200_30;064205_35;064207_37;064208_38;064215_45;064216_46;064220_50;064224_54;064225_55;064227_57;064228_58;064235_65;064240_70;064242_72;064243_73;064245_75;064246_76;064250_80;064253_83;064255_85;064256_86;064258_88;064266_96;064270_100;064271_101;064276_106
tet(K),AMRfinder,34,34 (31.8%),31.8%,064175_5;064177_7;064179_9;064181_11;064184_14;064186_16;064189_19;064190_20;064194_24;064197_27;064198_28;064199_29;064205_35;064207_37;064210_40;064211_41;064212_42;064218_48;064219_49;064223_53;064224_54;064230_60;064233_63;064237_67;064242_72;064243_73;064250_80;064253_83;064256_86;064257_87;064260_90;064267_97;064269_99;064270_100
splE,AMRfinder,33,33 (30.8%),30.8%,064173_3;064179_9;064181_11;064186_16;064188_18;064193_23;064195_25;064197_27;064198_28;064199_29;064202_32;064209_39;064210_40;064211_41;064213_43;064215_45;064218_48;064219_49;064220_50;064223_53;064228_58;064233_63;064237_67;064239_69;064241_71;064243_73;064257_87;064260_90;064263_93;064265_95;064267_97;064269_99;064271_101
splA,AMRfinder,33,33 (30.8%),30.8%,064173_3;064179_9;064181_11;064187_17;064188_18;064190_20;064195_25;064197_27;064198_28;064199_29;064202_32;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064218_48;064219_49;064222_52;064223_53;064230_60;064233_63;064237_67;064239_69;064241_71;064257_87;064260_90;064263_93;064265_95;064267_97;064268_98;064269_99
lukD,AMRfinder,32,32 (29.9%),29.9%,064173_3;064179_9;064181_11;064187_17;064188_18;064190_20;064195_25;064197_27;064198_28;064199_29;064202_32;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064218_48;064219_49;064222_52;064223_53;064230_60;064233_63;064237_67;064239_69;064241_71;064257_87;064260_90;064263_93;064265_95;064267_97;064269_99
murA_T396N,AMRfinder,28,28 (26.2%),26.2%,064175_5;064177_7;064183_13;064184_14;064185_15;064189_19;064194_24;064200_30;064205_35;064207_37;064208_38;064216_46;064224_54;064225_55;064227_57;064235_65;064240_70;064242_72;064245_75;064246_76;064250_80;064253_83;064255_85;064256_86;064258_88;064266_96;064270_100;064276_106
blaPC1,AMRfinder,18,18 (16.8%),16.8%,064173_3;064181_11;064194_24;064197_27;064198_28;064199_29;064207_37;064209_39;064210_40;064212_42;064213_43;064224_54;064233_63;064250_80;064260_90;064268_98;064269_99;064270_100
sel26,AMRfinder,18,18 (16.8%),16.8%,064173_3;064181_11;064190_20;064197_27;064199_29;064200_30;064202_32;064208_38;064210_40;064216_46;064225_55;064227_57;064230_60;064233_63;064240_70;064258_88;064260_90;064263_93
parC_S80F,AMRfinder,17,17 (15.9%),15.9%,064173_3;064179_9;064181_11;064197_27;064199_29;064202_32;064210_40;064211_41;064219_49;064226_56;064233_63;064257_87;064260_90;064263_93;064264_94;064265_95;064267_97
seb,AMRfinder,15,15 (14.0%),14.0%,064173_3;064181_11;064183_13;064187_17;064197_27;064199_29;064205_35;064210_40;064214_44;064222_52;064233_63;064235_65;064242_72;064245_75;064276_106
sek,AMRfinder,11,11 (10.3%),10.3%,064173_3;064181_11;064197_27;064198_28;064199_29;064209_39;064210_40;064233_63;064241_71;064242_72;064269_99
seq,AMRfinder,11,11 (10.3%),10.3%,064173_3;064181_11;064197_27;064198_28;064199_29;064209_39;064210_40;064233_63;064241_71;064242_72;064269_99
ednB,AMRfinder,11,11 (10.3%),10.3%,064175_5;064177_7;064184_14;064189_19;064194_24;064207_37;064224_54;064250_80;064253_83;064256_86;064270_100
folP_E208K,AMRfinder,9,9 (8.4%),8.4%,064173_3;064181_11;064190_20;064197_27;064199_29;064210_40;064230_60;064233_63;064260_90
murA_D278E,AMRfinder,7,7 (6.5%),6.5%,064186_16;064193_23;064215_45;064220_50;064228_58;064243_73;064271_101
glpT_V213I,AMRfinder,7,7 (6.5%),6.5%,064186_16;064193_23;064215_45;064220_50;064228_58;064243_73;064271_101
dfrS1,AMRfinder,7,7 (6.5%),6.5%,064197_27;064211_41;064215_45;064220_50;064228_58;064263_93;064271_101
folP_F17L,AMRfinder,7,7 (6.5%),6.5%,064173_3;064181_11;064197_27;064199_29;064210_40;064233_63;064260_90
murA_G257D,AMRfinder,7,7 (6.5%),6.5%,064173_3;064181_11;064197_27;064199_29;064210_40;064233_63;064260_90
catA,AMRfinder,7,7 (6.5%),6.5%,064188_18;064189_19;064197_27;064217_47;064226_56;064239_69;064265_95
sep,AMRfinder,6,6 (5.6%),5.6%,064179_9;064211_41;064219_49;064257_87;064265_95;064267_97
sasG,AMRfinder,6,6 (5.6%),5.6%,064173_3;064210_40;064233_63;064241_71;064260_90;064263_93
aadD1,AMRfinder,6,6 (5.6%),5.6%,064190_20;064211_41;064230_60;064237_67;064249_79;064256_86
sey,AMRfinder,6,6 (5.6%),5.6%,064183_13;064205_35;064235_65;064242_72;064245_75;064276_106
glpT_L27F,AMRfinder,6,6 (5.6%),5.6%,064183_13;064205_35;064235_65;064242_72;064245_75;064276_106
merA,AMRfinder,5,5 (4.7%),4.7%,064173_3;064181_11;064199_29;064260_90;064263_93
cadC,AMRfinder,5,5 (4.7%),4.7%,064173_3;064181_11;064199_29;064260_90;064263_93
qacC,AMRfinder,5,5 (4.7%),4.7%,064173_3;064199_29;064233_63;064256_86;064260_90
str,AMRfinder,5,5 (4.7%),4.7%,064182_12;064217_47;064234_64;064252_82;064265_95
seh,AMRfinder,5,5 (4.7%),4.7%,064198_28;064209_39;064213_43;064223_53;064269_99
tet(L),AMRfinder,4,4 (3.7%),3.7%,064215_45;064220_50;064228_58;064271_101
arsC,AMRfinder,4,4 (3.7%),3.7%,064173_3;064181_11;064199_29;064260_90
merT,AMRfinder,4,4 (3.7%),3.7%,064173_3;064199_29;064260_90;064263_93
erm(C),AMRfinder,4,4 (3.7%),3.7%,064188_18;064197_27;064239_69;064265_95
bleO,AMRfinder,3,3 (2.8%),2.8%,064190_20;064211_41;064230_60
ser,AMRfinder,3,3 (2.8%),2.8%,064213_43;064214_44;064241_71
sej,AMRfinder,3,3 (2.8%),2.8%,064213_43;064214_44;064241_71
erm(B),AMRfinder,2,2 (1.9%),1.9%,064173_3;064260_90
sed,AMRfinder,2,2 (1.9%),1.9%,064214_44;064241_71
tet(M),AMRfinder,2,2 (1.9%),1.9%,064202_32;064263_93
mecR1,AMRfinder,2,2 (1.9%),1.9%,064235_65;064268_98
tst,AMRfinder,2,2 (1.9%),1.9%,064184_14;064213_43
parE_R444S,AMRfinder,1,1 (0.9%),0.9%,064260_90
mupA,AMRfinder,1,1 (0.9%),0.9%,064249_79
qacA,AMRfinder,1,1 (0.9%),0.9%,064237_67
qacR,AMRfinder,1,1 (0.9%),0.9%,064237_67
lnu(A),AMRfinder,1,1 (0.9%),0.9%,064237_67
arsR,AMRfinder,1,1 (0.9%),0.9%,064181_11
arsB,AMRfinder,1,1 (0.9%),0.9%,064181_11
qacJ,AMRfinder,1,1 (0.9%),0.9%,064265_95
lnu(A)',AMRfinder,1,1 (0.9%),0.9%,064256_86
merB,AMRfinder,1,1 (0.9%),0.9%,064213_43
ses,AMRfinder,1,1 (0.9%),0.9%,064213_43
set,AMRfinder,1,1 (0.9%),0.9%,064213_43
eta,AMRfinder,1,1 (0.9%),0.9%,064212_42
etb,AMRfinder,1,1 (0.9%),0.9%,064212_42
sel30,AMRfinder,1,1 (0.9%),0.9%,064268_98
dfrG_1,RESFINDER,95,95,88.8%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064201_31;064203_33;064204_34;064205_35;064206_36;064207_37;064209_39;064210_40;064211_41;064212_42;064214_44;064215_45;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064224_54;064226_56;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064259_89;064260_90;064261_91;064262_92;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
mecA_8,RESFINDER,56,56,52.3%,064171_1;064172_2;064174_4;064176_6;064178_8;064179_9;064180_10;064181_11;064182_12;064190_20;064191_21;064192_22;064194_24;064196_26;064197_27;064199_29;064201_31;064203_33;064204_34;064206_36;064207_37;064210_40;064217_47;064221_51;064223_53;064224_54;064226_56;064230_60;064231_61;064232_62;064233_63;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064254_84;064256_86;064257_87;064259_89;064261_91;064262_92;064264_94;064265_95;064270_100;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
aph(3')-III_1,RESFINDER,53,53,49.5%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064179_9;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064202_32;064203_33;064204_34;064206_36;064211_41;064215_45;064217_47;064219_49;064220_50;064221_51;064226_56;064228_58;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064257_87;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064267_97;064271_101;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
aac(6')-aph(2'')_1,RESFINDER,52,52,48.6%,064171_1;064172_2;064174_4;064176_6;064178_8;064179_9;064180_10;064182_12;064190_20;064191_21;064192_22;064196_26;064197_27;064199_29;064202_32;064203_33;064204_34;064215_45;064217_47;064220_50;064221_51;064226_56;064228_58;064230_60;064231_61;064232_62;064234_64;064236_66;064237_67;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064256_86;064257_87;064259_89;064261_91;064262_92;064263_93;064264_94;064265_95;064271_101;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
blaZ_138,RESFINDER,47,47,43.9%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064183_13;064184_14;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064205_35;064206_36;064217_47;064221_51;064226_56;064231_61;064232_62;064234_64;064235_65;064236_66;064238_68;064242_72;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064253_83;064254_84;064259_89;064261_91;064262_92;064264_94;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
msr(A)_1,RESFINDER,43,43,40.2%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064190_20;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064226_56;064230_60;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064256_86;064259_89;064261_91;064262_92;064264_94;064268_98;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
blaZ_29,RESFINDER,43,43,40.2%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064202_32;064203_33;064204_34;064206_36;064214_44;064217_47;064221_51;064226_56;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064256_86;064259_89;064261_91;064262_92;064263_93;064264_94;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
mph(C)_2,RESFINDER,39,39,36.4%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064203_33;064204_34;064206_36;064217_47;064221_51;064226_56;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064259_89;064261_91;064262_92;064264_94;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
tet(K)_1,RESFINDER,33,33,30.8%,064175_5;064177_7;064179_9;064181_11;064184_14;064186_16;064189_19;064190_20;064194_24;064197_27;064198_28;064199_29;064205_35;064207_37;064210_40;064211_41;064212_42;064218_48;064219_49;064223_53;064224_54;064230_60;064233_63;064237_67;064242_72;064243_73;064250_80;064253_83;064256_86;064257_87;064260_90;064267_97;064270_100
blaZ_79,RESFINDER,28,28,26.2%,064175_5;064177_7;064179_9;064185_15;064186_16;064187_17;064188_18;064189_19;064193_23;064195_25;064211_41;064215_45;064218_48;064219_49;064220_50;064222_52;064223_53;064228_58;064237_67;064239_69;064243_73;064246_76;064255_85;064257_87;064265_95;064266_96;064267_97;064271_101
blaZ_78,RESFINDER,19,19,17.8%,064173_3;064181_11;064194_24;064197_27;064198_28;064199_29;064205_35;064207_37;064209_39;064210_40;064212_42;064213_43;064224_54;064233_63;064250_80;064260_90;064268_98;064269_99;064270_100
ant(6)-Ia_1,RESFINDER,7,7,6.5%,064202_32;064215_45;064220_50;064228_58;064260_90;064263_93;064271_101
cat(pC221)_1,RESFINDER,7,7,6.5%,064188_18;064189_19;064197_27;064217_47;064226_56;064239_69;064265_95
aadD_1,RESFINDER,6,6,5.6%,064190_20;064211_41;064230_60;064237_67;064249_79;064256_86
str_2,RESFINDER,4,4,3.7%,064182_12;064217_47;064252_82;064265_95
tet(L)_2,RESFINDER,4,4,3.7%,064215_45;064220_50;064228_58;064271_101
bleO_1,RESFINDER,3,3,2.8%,064190_20;064211_41;064230_60
erm(C)_2,RESFINDER,3,3,2.8%,064188_18;064197_27;064239_69
blaZ_7,RESFINDER,2,2,1.9%,064190_20;064230_60
tet(M)_13,RESFINDER,2,2,1.9%,064202_32;064263_93
lnu(A)_1,RESFINDER,2,2,1.9%,064237_67;064256_86
mecA_6,RESFINDER,2,2,1.9%,064235_65;064268_98
aph(2'')-Ia_2,RESFINDER,2,2,1.9%,064173_3;064260_90
erm(B)_18,RESFINDER,2,2,1.9%,064173_3;064260_90
mupA_2,RESFINDER,1,1,0.9%,064249_79
erm(C)_13,RESFINDER,1,1,0.9%,064265_95
blaZ_133,RESFINDER,1,1,0.9%,064241_71
AAC3,MEGARES,107,107,100.0%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064200_30;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064207_37;064208_38;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064216_46;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064225_55;064226_56;064227_57;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064258_88;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
MGRA,MEGARES,107,107,100.0%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064200_30;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064207_37;064208_38;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064216_46;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064225_55;064226_56;064227_57;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064258_88;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
NORA,MEGARES,107,107,100.0%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064200_30;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064207_37;064208_38;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064216_46;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064225_55;064226_56;064227_57;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064258_88;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
RLMH,MEGARES,107,107,100.0%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064200_30;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064207_37;064208_38;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064216_46;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064225_55;064226_56;064227_57;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064258_88;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
TET38,MEGARES,107,107,100.0%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064200_30;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064207_37;064208_38;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064216_46;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064225_55;064226_56;064227_57;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064258_88;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
MEPR,MEGARES,107,107,100.0%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064200_30;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064207_37;064208_38;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064216_46;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064225_55;064226_56;064227_57;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064258_88;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
MEPA,MEGARES,107,107,100.0%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064200_30;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064207_37;064208_38;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064216_46;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064225_55;064226_56;064227_57;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064258_88;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
